dof_index, displacement_x, displacement_y, div_u, curl_u
0,0,8.45481e-82,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,6.69358e-37,0,0
6,0,6.58927e-36,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,1.40873e-25,0,0
36,0,1.84088e-26,0,0
37,0,3.38916e-26,0,0
38,0,2.35584e-27,0,0
39,0,2.15598e-24,0,0
40,0,-2.53557e-25,0,0
41,0,4.8912e-25,0,0
42,0,9.04625e-26,0,0
43,0,5.04217e-24,0,0
44,0,3.42635e-25,0,0
45,0,0,0,0
46,0,0,0,0
47,0,1.59675e-117,0,0
48,0,7.94517e-117,0,0
49,0,1.17111e-60,0,0
50,0,1.73075e-60,0,0
51,0,1.51935e-60,0,0
52,0,6.58262e-61,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,1.66238e-104,0,0
64,0,2.90511e-104,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,1.04932e-101,0,0
78,0,3.37074e-101,0,0
79,0,0,0,0
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0,0,0
87,0,4.46446e-96,0,0
88,0,9.48438e-96,0,0
89,0,0,0,0
90,0,0,0,0
91,0,0,0,0
92,0,0,0,0
93,0,0,0,0
94,0,0,0,0
95,0,0.319663,0,0
96,0,0.327912,0,0
97,0,0.286755,0,0
98,0,0.277479,0,0
99,0,0.489988,0,0
100,0,0.476188,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
104,0,0,0,0
105,0,8.05597e-07,0,0
106,0,1.45348e-07,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,0
114,0,0,0,0
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
121,0,0,0,0
122,0,0,0,0
123,0,0,0,0
124,0,0,0,0
125,0,0,0,0
126,0,0,0,0
127,0,0,0,0
128,0,0,0,0
129,0,0,0,0
130,0,0,0,0
131,0,0,0,0
132,0,0,0,0
133,0,0,0,0
134,0,0,0,0
135,0,-1.50896e-74,0,0
136,0,1.32925e-73,0,0
137,0,4.01192e-76,0,0
138,0,7.18075e-75,0,0
139,0,1.38796e-63,0,0
140,0,7.18227e-63,0,0
141,0,2.35457e-65,0,0
142,0,8.78821e-65,0,0
143,0,0,0,0
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,0,0
155,0,0,0,0
156,0,0,0,0
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
160,0,0,0,0
161,0,0,0,0
162,0,0,0,0
163,0,0,0,0
164,0,0,0,0
165,0,1.48988e-09,0,0
166,0,7.67469e-11,0,0
167,0,0,0,0
168,0,0,0,0
169,0,0,0,0
170,0,0,0,0
171,0,0,0,0
172,0,0,0,0
173,0,0,0,0
174,0,0,0,0
175,0,0,0,0
176,0,0,0,0
177,0,0,0,0
178,0,0,0,0
179,0,0,0,0
180,0,0,0,0
181,0,0,0,0
182,0,0,0,0
183,0,0,0,0
184,0,0,0,0
185,0,1.78682e-56,0,0
186,0,5.51408e-58,0,0
187,0,1.19868e-55,0,0
188,0,3.44396e-56,0,0
189,0,0,0,0
190,0,0,0,0
191,0,0,0,0
192,0,0,0,0
193,0,0,0,0
194,0,0,0,0
195,0,0,0,0
196,0,0,0,0
197,0,2.12973e-62,0,0
198,0,-1.38305e-62,0,0
199,0,8.17193e-74,0,0
200,0,8.47411e-74,0,0
201,0,1.40097e-75,0,0
202,0,1.46756e-75,0,0
203,0,2.06191e-74,0,0
204,0,7.77948e-75,0,0
205,0,6.94981e-76,0,0
206,0,1.44201e-76,0,0
207,0,8.30689e-72,0,0
208,0,3.60831e-72,0,0
209,0,1.47196e-73,0,0
210,0,4.60155e-75,0,0
211,0,1.28242e-72,0,0
212,0,6.95174e-73,0,0
213,0,0,0,0
214,0,0,0,0
215,0,0,0,0
216,0,0,0,0
217,0,0,0,0
218,0,0,0,0
219,0,0,0,0
220,0,0,0,0
221,0,0,0,0
222,0,0,0,0
223,0,0,0,0
224,0,0,0,0
225,0,0,0,0
226,0,0,0,0
227,0,0,0,0
228,0,0,0,0
229,0,0,0,0
230,0,0,0,0
231,0,0,0,0
232,0,0,0,0
233,0,0,0,0
234,0,0,0,0
235,0,0,0,0
236,0,0,0,0
237,0,0,0,0
238,0,0,0,0
239,0,0,0,0
240,0,0,0,0
241,0,0,0,0
242,0,0,0,0
243,0,0,0,0
244,0,0,0,0
245,0,0,0,0
246,0,0,0,0
247,0,0,0,0
248,0,0,0,0
249,0,0,0,0
250,0,0,0,0
251,0,0,0,0
252,0,0,0,0
253,0,0,0,0
254,0,0,0,0
255,0,0,0,0
256,0,0,0,0
257,0,0,0,0
258,0,0,0,0
259,0,0,0,0
260,0,0,0,0
261,0,0,0,0
262,0,0,0,0
263,0,0,0,0
264,0,0,0,0
265,0,0,0,0
266,0,0,0,0
267,0,0.0440602,0,0
268,0,0.689325,0,0
269,0,0,0,0
270,0,0,0,0
271,0,0,0,0
272,0,0,0,0
273,0,0,0,0
274,0,0,0,0
275,0,0,0,0
276,0,0,0,0
277,0,0,0,0
278,0,0,0,0
279,0,0,0,0
280,0,0,0,0
281,0,0,0,0
282,0,0,0,0
283,0,0,0,0
284,0,0,0,0
285,0,0,0,0
286,0,0,0,0
287,0,-1.71926,0,0
288,0,1.13139,0,0
289,0,-0.42603,0,0
290,0,0.0327815,0,0
291,0,-1.03672,0,0
292,0,0.285515,0,0
293,0,0,0,0
294,0,0,0,0
295,0,0,0,0
296,0,0,0,0
297,0,0,0,0
298,0,0,0,0
299,0,0,0,0
300,0,0,0,0
301,0,0,0,0
302,0,0,0,0
303,0,3.83046e-78,0,0
304,0,3.49794e-78,0,0
305,0,6.69653e-80,0,0
306,0,6.92489e-80,0,0
307,0,2.60519e-78,0,0
308,0,2.62833e-78,0,0
309,0,0,0,0
310,0,0,0,0
311,0,3.23797e-80,0,0
312,0,2.9284e-80,0,0
313,0,1.04897e-76,0,0
314,0,9.67451e-77,0,0
315,0,1.89078e-76,0,0
316,0,1.71558e-76,0,0
317,0,5.72875e-117,0,0
318,0,8.43651e-117,0,0
319,0,4.33425e-115,0,0
320,0,6.5149e-115,0,0
321,0,1.30629e-117,0,0
322,0,2.42791e-117,0,0
323,0,1.94036e-119,0,0
324,0,2.69227e-119,0,0
325,0,1.37872e-76,0,0
326,0,1.57182e-76,0,0
327,0,5.12385e-110,0,0
328,0,1.13003e-109,0,0
329,0,1.58139e-108,0,0
330,0,6.30034e-108,0,0
331,0,1.44664e-66,0,0
332,0,3.39365e-67,0,0
333,0,3.4118e-65,0,0
334,0,7.33745e-66,0,0
335,0,7.61688e-23,0,0
336,0,-1.15346e-23,0,0
337,0,0,0,0
338,0,0,0,0
339,0,0,0,0
340,0,0,0,0
341,0,3.67543e-23,0,0
342,0,1.84503e-25,0,0
343,0,0,0,0
344,0,0,0,0
345,0,0,0,0
346,0,0,0,0
347,0,2.84946e-64,0,0
348,0,7.42868e-64,0,0
349,0,0,0,0
350,0,0,0,0
351,0,0,0,0
352,0,0,0,0
353,0,0,0,0
354,0,0,0,0
355,0,0,0,0
356,0,0,0,0
357,0,3.13178e-11,0,0
358,0,3.79907e-11,0,0
359,0,4.67942e-11,0,0
360,0,5.66989e-11,0,0
361,0,0,0,0
362,0,0,0,0
363,0,0,0,0
364,0,0,0,0
365,0,8.94728e-12,0,0
366,0,1.03954e-11,0,0
367,0,1.29701e-11,0,0
368,0,1.59514e-11,0,0
369,0,0,0,0
370,0,0,0,0
371,0,0,0,0
372,0,0,0,0
373,0,0,0,0
374,0,0,0,0
375,0,0,0,0
376,0,0,0,0
377,0,0,0,0
378,0,0,0,0
379,0,0,0,0
380,0,0,0,0
381,0,0,0,0
382,0,0,0,0
383,0,0,0,0
384,0,0,0,0
385,0,0,0,0
386,0,0,0,0
387,0,0,0,0
388,0,0,0,0
389,0,0,0,0
390,0,0,0,0
391,0,0,0,0
392,0,0,0,0
393,0,0,0,0
394,0,0,0,0
395,0,4.86271e-43,0,0
396,0,-2.21417e-44,0,0
397,0,1.11894e-41,0,0
398,0,5.22484e-43,0,0
399,0,2.82794e-43,0,0
400,0,-5.91458e-44,0,0
401,0,0,0,0
402,0,0,0,0
403,0,0,0,0
404,0,0,0,0
405,0,0,0,0
406,0,0,0,0
407,0,0,0,0
408,0,0,0,0
409,0,0,0,0
410,0,0,0,0
411,0,1.6753e-139,0,0
412,0,1.66742e-138,0,0
413,0,3.33216e-47,0,0
414,0,6.25879e-48,0,0
415,0,4.58604e-46,0,0
416,0,6.90349e-47,0,0
417,0,0,0,0
418,0,0,0,0
419,0,1.27104e-46,0,0
420,0,2.15119e-47,0,0
421,0,1.17629e-15,0,0
422,0,1.02328e-15,0,0
423,0,1.07568e-14,0,0
424,0,6.17987e-15,0,0
425,0,1.60826e-15,0,0
426,0,1.39933e-15,0,0
427,0,1.48932e-14,0,0
428,0,1.19049e-14,0,0
429,0,0.0719699,0,0
430,0,-0.332106,0,0
431,0,0,0,0
432,0,0,0,0
433,0,4.67503e-23,0,0
434,0,2.12601e-23,0,0
435,0,9.04382e-22,0,0
436,0,2.9313e-22,0,0
437,0,0,0,0
438,0,0,0,0
